edge,from_x,from_y,to_x,to_y,path_cells,geodesic_m,min_clearance_m,shortfall_integral_m2,low_clearance_cells
0,1.705,-1.12,-0.495,0.13,45,2.718,2.192,0.0,0
1,-0.495,0.13,-0.495,0.68,12,0.55,2.018,0.0,0
2,-0.495,0.68,0.105,0.68,13,0.6,2.018,0.0,0
3,0.105,0.68,-0.695,4.38,75,4.031,1.346,0.0,0
4,-0.695,4.38,-0.995,4.68,7,0.424,1.226,0.0,0
5,-0.995,4.68,1.105,6.88,53,3.304,0.35,0.4473,29
6,1.105,6.88,2.255,10.43,72,4.026,0.35,0.65506,46
7,2.255,10.43,3.055,11.23,17,1.131,0.9,0.0,0
8,3.055,11.23,3.305,13.53,47,2.404,0.95,0.0,0
9,3.305,13.53,3.555,13.53,6,0.25,1.282,0.0,0
10,3.555,13.53,3.555,11.38,44,2.15,0.7,0.01789,11
11,3.555,11.38,3.305,9.63,36,1.854,0.762,0.0,0
12,3.305,9.63,3.805,3.93,145,7.904,0.35,2.09628,134
13,3.805,3.93,6.905,5.43,63,3.721,0.35,0.43335,31
14,6.905,5.43,2.705,3.53,85,4.987,0.35,0.89174,71
15,2.705,3.53,5.605,0.88,110,6.278,0.35,1.67609,103
16,5.605,0.88,7.505,0.68,39,1.983,0.781,0.0,0
17,7.505,0.68,11.505,0.68,81,4.0,1.834,0.0,0
18,11.505,0.68,12.605,0.68,23,1.1,2.706,0.0,0
19,12.605,0.68,12.555,0.53,4,0.171,3.182,0.0,0
20,12.555,0.53,11.505,0.43,22,1.091,2.878,0.0,0
21,11.505,0.43,7.505,0.43,81,4.0,2.072,0.0,0
22,7.505,0.43,5.305,-0.22,45,2.469,0.776,0.0,0
23,5.305,-0.22,3.655,-3.52,67,3.983,0.35,0.81408,63
24,3.655,-3.52,3.555,-3.97,10,0.491,0.854,0.0,0
25,3.555,-3.97,1.205,-6.97,61,3.973,1.101,0.0,0
26,1.205,-6.97,0.855,-7.32,8,0.495,2.704,0.0,0
27,0.855,-7.32,2.755,-10.52,65,3.987,2.797,0.0,0
28,2.755,-10.52,3.555,-11.32,17,1.131,2.482,0.0,0
29,3.555,-11.32,3.555,-12.62,27,1.3,2.482,0.0,0
30,3.555,-12.62,1.155,-11.22,49,2.98,3.1,0.0,0
31,1.155,-11.22,0.955,-11.37,5,0.262,4.353,0.0,0
32,0.955,-11.37,-0.495,-12.47,30,1.906,3.289,0.0,0
33,-0.495,-12.47,-0.495,-11.32,24,1.15,2.957,0.0,0
34,-0.495,-11.32,-0.495,-7.32,81,4.0,1.787,0.0,0
35,-0.495,-7.32,-0.495,-3.82,71,3.5,0.762,0.0,0
36,-0.495,-3.82,-2.845,-1.92,75,4.011,0.35,0.8382,61
37,-2.845,-1.92,-4.495,-3.47,34,2.292,1.097,0.0,0
38,-4.495,-3.47,-7.145,-8.57,104,6.641,0.35,1.28746,89
39,-7.145,-8.57,-7.445,-8.87,7,0.424,0.75,0.0,0
40,-7.445,-8.87,-5.195,-4.07,97,6.146,0.35,1.53891,87
41,-5.195,-4.07,-4.095,0.03,83,4.721,0.35,0.84912,57
42,-4.095,0.03,-6.295,3.13,63,4.011,0.35,0.44058,31
43,-6.295,3.13,-7.195,4.03,19,1.273,0.82,0.0,0
44,-7.195,4.03,-7.445,4.68,14,0.754,1.838,0.0,0
45,-7.445,4.68,-8.495,7.03,48,2.785,0.802,0.0,0
46,-8.495,7.03,-8.495,3.03,81,4.0,0.8,0.0,0
47,-8.495,3.03,-7.495,0.63,49,2.814,0.8,0.0,0
48,-7.495,0.63,-8.495,0.68,21,1.021,0.825,0.0,0
49,-8.495,0.68,-12.145,-0.22,74,4.023,0.35,0.9071,66
50,-12.145,-0.22,-12.445,-0.52,7,0.424,0.955,0.0,0
51,-12.445,-0.52,-13.945,-0.47,31,1.521,1.312,0.0,0
